Step,AgentID,ID,Type,Zone,CurrentZone,SES,ThreatScore,CopingScore,Action,Influenced,EarlyEvacuated,SocialNetwork,Longitude,Latitude
1,67,67,agent,Heugemerveld,SafeZone,low,5.0,1.0,evacuate,True,True,4,637314.6274379326,6592312.462903856
1,68,68,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,True,True,4,637329.5049857,6592491.563122579
1,69,69,agent,Heugemerveld,Heugemerveld,high,4.5,3.5,mitigate,False,False,4,635113.7931133882,6593160.885908257
1,70,70,agent,Randwyck,Randwyck,medium,3.25,5.0,mitigate,False,False,3,634912.4828816992,6592037.566280862
1,71,71,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,True,True,4,637366.7894122638,6591715.983001363
1,72,72,agent,Randwyck,SafeZone,medium,3.25,3.0,evacuate,True,True,3,637277.8480862903,6592123.956619692
1,73,73,agent,Randwyck,SafeZone,high,3.25,1.0,evacuate,True,True,3,637306.1581906821,6592441.86329937
1,74,74,agent,Randwyck,SafeZone,high,3.0,3.0,evacuate,True,True,3,637352.9723500017,6592202.882561774
1,75,75,agent,Heugem,SafeZone,medium,3.75,1.0,evacuate,True,True,3,636680.496426112,6592041.449369786
1,76,76,agent,Heugem,SafeZone,medium,4.25,3.0,evacuate,True,True,3,637523.591975676,6591702.396235787
1,77,77,agent,Randwyck,Randwyck,high,2.0,3.0,do_nothing,False,False,3,635091.9422381691,6591711.205222969
1,78,78,agent,Randwyck,Randwyck,high,2.0,3.0,do_nothing,False,False,3,635156.2612429201,6592363.951764664
1,79,79,agent,Randwyck,Randwyck,high,3.0,5.0,mitigate,False,False,3,635162.7671684077,6592190.568513626
1,80,80,agent,Randwyck,Randwyck,high,2.0,5.0,do_nothing,False,False,3,635088.2508836115,6592346.151087288
1,81,81,agent,Randwyck,Randwyck,medium,2.5,3.5,do_nothing,False,False,3,635291.2876486082,6592191.730921143
1,82,82,agent,Heugemerveld,SafeZone,low,5.0,1.0,evacuate,True,True,4,637499.0268327435,6592097.241493759
1,83,83,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,True,True,4,637145.4578059707,6591942.11441742
1,84,84,agent,Heugem,Heugem,high,4.75,4.0,mitigate,False,False,3,635370.0302015252,6591028.54745813
1,85,85,agent,Heugemerveld,Heugemerveld,medium,2.0,1.5,do_nothing,False,False,4,635091.7580073384,6593127.34439092
1,86,86,agent,Randwyck,Randwyck,high,2.0,1.5,do_nothing,False,False,3,635212.2895794436,6591766.005222387
1,87,87,agent,Randwyck,Randwyck,high,1.75,1.0,do_nothing,False,False,3,634925.8940051013,6591990.82624375
1,88,88,agent,Randwyck,Randwyck,medium,3.5,4.5,mitigate,False,False,3,634891.9093681902,6592308.578026973
1,89,89,agent,Heugemerveld,Heugemerveld,medium,2.0,1.5,do_nothing,False,False,4,634973.1140855876,6593478.337988407
1,90,90,agent,Heugem,SafeZone,medium,5.0,1.0,evacuate,True,True,3,637226.6726107282,6591863.071182302
1,91,91,agent,Heugemerveld,Heugemerveld,medium,2.0,1.5,do_nothing,False,False,4,635194.8167723715,6593859.992025252
1,92,92,agent,Randwyck,Randwyck,high,2.0,1.5,do_nothing,False,False,3,635295.670008131,6592244.288099976
1,93,93,agent,Randwyck,Randwyck,high,1.75,1.0,do_nothing,False,False,3,634981.4841810158,6592193.943152261
1,94,94,agent,Randwyck,Randwyck,medium,3.5,4.5,mitigate,False,False,3,635153.4954255307,6592347.631730488
1,95,95,agent,Heugem,SafeZone,medium,5.0,1.0,evacuate,True,True,3,636874.2963340334,6592099.125052604
1,96,96,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,True,True,4,636993.8912196816,6592032.517727926
1,97,97,agent,Heugemerveld,SafeZone,high,4.25,2.5,evacuate,True,True,4,637533.0648604305,6591671.775904561
1,98,98,agent,Heugemerveld,SafeZone,medium,3.0,2.0,evacuate,True,True,4,637445.3849853599,6592467.549892731
1,99,99,agent,Heugemerveld,SafeZone,medium,5.0,3.0,evacuate,True,True,4,637197.2198280152,6592469.279213929
1,100,100,agent,Heugem,Heugem,medium,5.0,5.0,mitigate,False,False,3,635377.4365384894,6591192.796858185
1,101,101,agent,Heugem,SafeZone,medium,3.0,3.0,evacuate,True,True,3,637324.7548223214,6592335.354076652
1,102,102,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,True,True,4,637436.8746714985,6592383.889246608
1,103,103,agent,Heugemerveld,SafeZone,high,4.25,2.5,evacuate,True,True,4,636660.8386779211,6592422.98919295
1,104,104,agent,Heugem,SafeZone,medium,4.5,3.0,evacuate,True,True,3,637069.5392921511,6592284.315263693
1,105,105,agent,Heugemerveld,SafeZone,low,4.75,1.5,evacuate,True,True,4,637484.5498610012,6592099.668837389
1,106,106,agent,Heugemerveld,SafeZone,medium,5.0,1.0,evacuate,True,True,4,636695.2860703734,6592292.261119586
1,107,107,agent,Heugemerveld,SafeZone,high,4.25,2.5,evacuate,True,True,4,637420.7268773386,6591871.549871389
1,108,108,agent,Heugemerveld,SafeZone,medium,3.0,2.0,evacuate,True,True,4,637506.3399188139,6591952.041328431
1,109,109,agent,Heugemerveld,SafeZone,medium,5.0,3.0,evacuate,True,True,4,637339.8392530138,6592429.02867992
1,110,110,agent,Heugem,Heugem,medium,5.0,5.0,mitigate,False,False,3,635286.6288350238,6591062.716698284
1,111,111,agent,Heugem,SafeZone,medium,3.0,3.0,evacuate,True,True,3,636960.9083349165,6591939.175135688
1,112,112,agent,Heugem,SafeZone,medium,4.5,3.0,evacuate,True,True,3,637231.9843352197,6592596.788009196
1,113,113,agent,Heugemerveld,SafeZone,low,4.75,1.5,evacuate,True,True,4,637222.5589552317,6591717.909733728
1,114,114,agent,Heugem,SafeZone,medium,3.5,2.0,evacuate,True,True,3,637120.988424431,6592416.385431679
1,115,115,agent,Heugem,SafeZone,medium,3.75,2.5,evacuate,True,True,3,637490.3195084159,6592541.445801447
